High,Low
9287.5,9169.169922
9171.419922,9090.959961
9069.219727,8983.519531
8949.410156,8807.410156
8910.620117,8834.089844
9021.75,8810.459961
9280.700195,9117.870117
9008.360352,8819.259766
8932.150391,8796.450195
9083.370117,8958.80957
9141.089844,9050.830078
9303,9173.379883
9311.019531,9206.80957
9105.889648,8997.629883
9136.259766,9069.929688
9390.900391,9317.299805
9330.049805,9258.179688
9620.900391,9199.080078
9643.280273,9554.360352
9704.25,9579.830078
9625.410156,9546.820313
9601.769531,9415.959961
9613.469727,9539.120117
9553.910156,9471.349609
9600.929688,9502.339844
9566.839844,9369.349609
9470.360352,9358.620117
9508.360352,9358.820313
9538.349609,9332.19043
9693.740234,9567
9716.919922,9649.169922
9675.589844,9588.879883
9650.200195,9387.730469
9510.19043,9393.519531
9614.44043,9481.509766
9553.570313,9478.639648
9564.849609,9471.480469
9575.139648,9489.679688
9402.049805,9316.969727
9479.25,9326.780273
9457.620117,9390.139648
9460.700195,9392.679688
9455.040039,9362.129883
9453.790039,9329.860352
9413.679688,9350.44043
9337.919922,9179.150391
9258.320313,9134.469727
9172.030273,9123.620117
9377.759766,9276.709961
9737.009766,9677.870117
9726.599609,9659.860352
9842.900391,9747.030273
9885.370117,9834.820313
9851.419922,9724.80957
9830.589844,9744.990234
9908.299805,9774.120117
10013.629883,9798.55957
10130.230469,10019.080078
10157.969727,10091.990234
10064.30957,9904.919922
10123.269531,10038.790039
10134.639648,10039.55957
10149.94043,10044.009766
10101.419922,9937.040039
9988.049805,9918.549805
10187.589844,10143.080078
10254,10154.990234
10179.820313,10143.580078
10167.099609,10094.410156
10258.900391,10184.320313
10298.25,10240.110352
10373.700195,10194.269531
10293.889648,10199.730469
10319.240234,10267.219727
10340.69043,10282.849609
10347.389648,10282.540039
10301.150391,10182.740234
10372.509766,10266.290039
10394.219727,10327.599609
10290.889648,10264.05957
10376.910156,10292.839844
10340.839844,10292.629883
10344.540039,10276.610352
10315.469727,10209.929688
10409.169922,10321.280273
10413.450195,10358.009766
10530.110352,10477.519531
10550.709961,10503.019531
10538.389648,10476.290039
10576.509766,10502.959961
10620.570313,10565.280273
10579.969727,10497.259766
10562.389648,10482.69043
10548.209961,10456.709961
10580.679688,10534.019531
10505.629883,10421.830078
10461.070313,10257.990234
10347.94043,10278.80957
10480.240234,10355.799805
10496.400391,10421.75
10480.080078,10332.650391
10265.959961,10182.570313
10299.379883,10245.75
10479.75,10366.959961
10450.459961,10409.839844
10580.360352,10524.129883
10644.209961,10572.719727
10648.799805,10623.700195
10701.919922,10599.5
10631.94043,10570.620117
10725.540039,10674.44043
10760.990234,10712.490234
10842.30957,10752.610352
10891.599609,10820.480469
10862.429688,10810.120117
10859.389648,10789.410156
10761.219727,10639.780273
10666.719727,10569.929688
10542.700195,10428.379883
10532.209961,10454.459961
10628.759766,10448.830078
10754.030273,10672.910156
10593.339844,10522.400391
10768.429688,10664.370117
10626.969727,10472.509766
10565.099609,10509.230469
10662.070313,10563.820313
10549.169922,10410.099609
10378.549805,10254.429688
10049.919922,9578.650391
9441.660156,8227.629883
9168.509766,8763.950195
9093.610352,8639.55957
9275.599609,9073.25
9625.030273,9395.849609
9592.400391,9387.950195
9509.849609,9418.709961
9569.709961,9469.370117
9541.759766,9405.200195
9502.230469,9317.379883
9708.790039,9479.030273
9765.80957,9658.639648
9822.05957,9698.599609
9808.599609,9718.889648
9732.259766,9566.049805
9671.459961,9562.160156
9687.179688,9578.469727
9804.280273,9536.679688
9775.599609,9700.75
9655.830078,9516.5
9651.959961,9577.959961
9608.919922,9539.030273
9478.870117,9405.19043
9631,9519.360352
9725.120117,9643.919922
9748.400391,9657.240234
9627.429688,9536.509766
9728.030273,9630.370117
9849.740234,9712.580078
10017.469727,9936.269531
9876.099609,9782.660156
9897.879883,9776.740234
9853.129883,9755.929688
9929.040039,9842.669922
9836.709961,9716.650391
9751.450195,9552.929688
9598.330078,9552.860352
9593.129883,9502.389648
9693.599609,9590.400391
9731.120117,9600.80957
9670.919922,9600.480469
9547.860352,9437.870117
9490.349609,9406.040039
9503.769531,9415.330078
9567.459961,9489.120117
9588.700195,9493.44043
9540.019531,9448
9697.349609,9497.400391
9720.730469,9659.30957
9575.009766,9517.280273
9603.030273,9490.679688
9490.549805,9359.780273
9454.660156,9358.30957
9458.429688,9394.740234
9472.410156,9383.120117
9613.75,9493.049805
9466.509766,9391.259766
9565.650391,9438.410156
9599.900391,9520.929688
9497.589844,9411.280273
9447.44043,9318.620117
9421.379883,9346.759766
9459.660156,9378.360352
9658.620117,9525.25
9652.410156,9553.299805
9695.089844,9609.240234
9638.490234,9570.580078
9703.410156,9632.540039
9797.259766,9734.660156
9849.69043,9785.889648
9900.570313,9849.639648
10005.75,9940.469727
9995.169922,9948.379883
10082.480469,9967.870117
10102.19043,10029.330078
10207.910156,10126.469727
10109.299805,10057.769531
9971.139648,9907.80957
9979.669922,9887.330078
9998.490234,9884
9985.320313,9919.099609
9945.719727,9889.719727
10042.75,9986.330078
10026.179688,9974
10149.179688,10076.530273
10091.019531,10039.099609
10130.25,10043.990234
10053.5,10009.370117
9945.980469,9853.849609
9914.219727,9824.339844
10040.129883,9906.169922
9873.459961,9822.299805
9705.019531,9610.379883
9768.400391,9615.349609
9469.160156,9264.089844
9215.089844,9057.290039
8949.969727,8656.790039
9144.330078,9021.360352
8983.330078,8832.419922
9070.269531,8926.889648
9150.30957,9072.530273
9081.799805,9003.700195
9043.179688,8931.25
8796.419922,8707.469727
8756.099609,8619.209961
8747.410156,8630.490234
8825.269531,8620.889648
8849.94043,8741.740234
8805.099609,8742.459961
8926.269531,8751.290039
8992.860352,8935.849609
9014.269531,8914.650391
8842.55957,8757.179688
8709.919922,8588.339844
8773.259766,8702.780273
8876.490234,8757.580078
8803.75,8726.25
8584.049805,8520.969727
8635.879883,8549.05957
8671.240234,8499.339844
8695.950195,8634.019531
8864.160156,8774.160156
8771.719727,8704.230469
8771.620117,8707.160156
8643.019531,8545.459961
8556.660156,8359.700195
8609.950195,8479.049805
8665.540039,8595.849609
8706.139648,8501.419922
8756,8653.620117
8577.519531,8455.669922
8470.759766,8359.240234
8501.030273,8343.009766
8663.570313,8589.360352
8806.44043,8725.620117
8763.019531,8689.379883
8854.160156,8808.730469
8787.889648,8733.709961
8911.700195,8856.580078
8773.990234,8727.389648
8831.549805,8745.360352
8733.599609,8672.209961
8700.490234,8652.259766
8844.280273,8762.019531
8870.370117,8755.379883
9086.429688,9003.089844
9152.389648,8988.389648
8946,8831.69043
8719.919922,8640.419922
8814.709961,8729.080078
8772.040039,8644
8762.980469,8678.780273
8566.490234,8485.769531
8655.30957,8595.429688
8584.299805,8527.629883
8567.639648,8459.299805
